bostadsrättsid, husid, lägenhetsnummer, yta, typ, våning, bostadsrättsgurppsid
1, 1, 1, 79, trea, 1, 1
2, 1, 2, 100, trea, 1, 1
3, 1, 3, 120, fyra, 1, 2
4, 1, 4, 70, trea, 2, 3
5, 1, 5, 68, trea, 2, 3
6, 1, 6, 69, trea, 2, 3
7, 1, 7, 56, tvåa, 3, 4
8, 1, 8, 80, fyra, 3, 5
9, 1, 9, 220, loft, 4, 6
10, 1, 10, 79, trea, 1, 1
11, 2, 11, 79, trea, 1, 1
12, 2, 12, 100, fyra, 1, 2
13, 2, 13, 70, trea, 2, 2
14, 2, 14, 68, trea, 2, 3
15, 2, 15, 68, trea, 2, 3
16, 2, 16, 56, tvåa, 3, 4
17, 2, 17, 80, fyra, 3, 5
18, 3, 18, 200, femma, 1, 7
19, 3, 19, 200, femma, 2, 8
20, 4, 20, 200, femma, 1, 7
21, 5, 1, 50, tvåa, 1, 9
22, 5, 2, 48, tvåa, 1, 9
23, 5, 3, 52, tvåa, 1, 9
24, 5, 4, 50, tvåa, 2, 10
25, 5, 5, 55, tvåa, 2, 10
26, 5, 6, 44, tvåa, 2, 10
27, 5, 7, 51, tvåa, 3, 11
28, 6, 8, 50, tvåa, 3, 11
29, 6, 9, 48, tvåa, 1, 9
30, 6, 10, 52, tvåa, 1, 9
31, 6, 11, 50, tvåa, 1, 9
32, 6, 12, 55, tvåa, 2, 10
33, 6, 13, 44, tvåa, 2, 10
34, 6, 14, 51, tvåa, 3, 11
35, 7, 1, 60, trea, 1, 12
36, 7, 2, 62, trea, 1, 12
37, 7, 3, 60, trea, 2, 13
38, 7, 4, 65, trea, 2, 13
39, 8, 1, 120, fyra, 1, 14
40, 8, 2, 120, fyra, 1, 14
41, 9, 3, 120, fyra, 2, 15
42, 9, 4, 120, fyra, 2, 15
43, 10, 1, 500, tia, 1, 16
44, 10, 2, 500, tia, 1, 16
45, 10, 3, 500, tia, 1, 16
46, 10, 4, 500, tia, 1, 16
