verksamhetsår, bostadsrättsgruppsid, belopp
2018, 1, 10000
2018, 2, 7000
2018, 3, 12000
2018, 4, 16000
2018, 5, 7000
2018, 6, 12500
2018, 7, 10000
2018, 8, 10000
2018, 9, 15000
2018, 10, 12000
2018, 11, 8900
2018, 12, 32000
2018, 13, 10500
2018, 14, 15000
2018, 15, 16200
2018, 16, 12400
2019, 1, 11000
2019, 2, 7100
2019, 3, 14000
2019, 4, 12000
2019, 5, 5000
2019, 6, 16500
2019, 7, 12000
2019, 8, 8000
2019, 9, 18000
2019, 10, 11000
2019, 11, 8900
2019, 12, 33000
2019, 13, 10500
2019, 14, 16000
2019, 15, 12200
2019, 16, 17400
